id,tier,tipo,nome,plataforma_principal,handle,url_perfil,email_profissional,email_imprensa,formulario_contato,telefone_institucional,cidade_uf,alcance_estimado,fonte_url,data_coleta,email_verificado,status_outreach,notas
001,5,partido,Partido dos Trabalhadores - Diretório Nacional,Site Oficial,pt,https://pt.org.br/contato/,contato@pt.org.br,,,(61) 3213-1313,Brasília-DF,,https://pt.org.br/contato/,2026-01-21,sim,ativo,Sede Nacional - SCS Qd 2 Bl C Ed Toufic
002,5,partido,Partido Socialismo e Liberdade - Nacional,Site Oficial,psol,https://psol50.org.br/enderecos-e-telefones/,contato@psol50.org.br,imprensa@psol50.org.br,,(61) 3327-6405,Brasília-DF,,https://psol50.org.br/enderecos-e-telefones/,2026-01-21,sim,ativo,Secretaria Executiva Nacional
003,5,partido,Partido Socialista Brasileiro - Nacional,Site Oficial,psb,https://psb40.org.br/contatos-ascom/,,imprensa@psbnacional.org.br,,(61) 3327-5196,Brasília-DF,,https://psb40.org.br/contatos-ascom/,2026-01-21,sim,ativo,Ramais: 320 337 332 336
014,3,midia,TV Fórum YouTube,YouTube,tvforum,https://www.youtube.com/@forumrevista,,,,,,,,https://www.youtube.com/@forumrevista,2026-01-21,nao,ativo,Canal YouTube Revista Fórum
015,2,canal,Meteoro Brasil,YouTube,meteoro_brasil,https://www.youtube.com/@MeteoroBrasil,,,,,Curitiba-PR,2000000,https://www.youtube.com/@MeteoroBrasil,2026-01-21,nao,ativo,Caixa Postal 17905 CEP 80410-981 - ~2M inscritos hardnews progressista
016,2,canal,Tese Onze,YouTube,teseonze,https://www.youtube.com/c/TeseOnze,contato@teseonze.com.br,,,,,,400000,https://www.facebook.com/teseonze/,2026-01-21,sim,ativo,PROJETO ENCERRADO em julho/2023 - email obtido via página Facebook oficial
017,4,org,CUT - Central Única dos Trabalhadores Nacional,Site,cut,https://www.cut.org.br/,imprensa@cntt.org.br,,,,Brasília-DF,,https://www.cut.org.br/noticias/cntt-cut-inaugura-novo-portal-na-internet-www-cntt-org-br-5387,2026-01-21,sim,ativo,Central sindical maior do Brasil - CNTT
018,4,org,CUT Distrito Federal,Site,cut-df,https://df.cut.org.br/,imprensa@cutdf.org.br,,,,Brasília-DF,,https://df.cut.org.br/conteudo/diretoria-executiva-2019-2023,2026-01-21,sim,ativo,Secretaria de Comunicação Rodrigo Britto
019,4,org,Centro de Mídia Independente Brasil,Site,cmi,https://midiaindependente.org/,,,,formulario_site,,,,https://midiaindependente.org/,2026-01-21,nao,ativo,Rede produtores independentes - formulário contato site
020,1,pessoa,Álvaro Borba - Meteoro Brasil,Jornalista,alvaroborba,https://www.youtube.com/@MeteoroBrasil,,,,,Curitiba-PR,,https://www.youtube.com/@MeteoroBrasil,2026-01-21,nao,ativo,Cofundador Meteoro Brasil - contato via assessoria canal
021,1,pessoa,Ana Lesnowski - Meteoro Brasil,Jornalista,analesnowski,https://www.youtube.com/@MeteoroBrasil,,,,,Curitiba-PR,,https://www.youtube.com/@MeteoroBrasil,2026-01-21,nao,ativo,Cofundadora Meteoro Brasil - jornalista
022,1,pessoa,Sabrina Fernandes - Tese Onze,Jornalista,sabrinafernandes,https://www.youtube.com/c/TeseOnze,contato@teseonze.com.br,,,,,,,https://www.facebook.com/teseonze/,2026-01-21,sim,ativo,Criadora Tese Onze - socióloga educação política
023,3,midia,Opera Mundi,Site,operamundi,https://operamundi.uol.com.br/,,,,,,,,https://operamundi.uol.com.br/,2026-01-21,nao,ativo,Portal UOL coluna progressista - formulário UOL
024,3,midia,CartaCapital,Site,cartacapital,https://www.cartacapital.com.br/,,,,,,,,https://www.cartacapital.com.br/,2026-01-21,nao,ativo,Revista semanal progressista - contato via formulário site
025,4,org,Instituto Socioambiental,Site,isa,https://www.socioambiental.org/,,,,formulario_site,,,,https://www.socioambiental.org/,2026-01-21,nao,ativo,ONG referência socioambiental - formulário site
026,4,org,Conectas Direitos Humanos,Site,conectas,https://conectas.org/,,,,formulario_site,,São Paulo-SP,,https://conectas.org/,2026-01-21,nao,ativo,ONG direitos humanos transparência - formulário site
027,4,org,Open Knowledge Brasil,Site,okbr,https://ok.org.br/,,,,formulario_site,,,,https://ok.org.br/,2026-01-21,nao,ativo,ONG transparência dados abertos - formulário site
028,4,org,WRI Brasil,Site,wri,https://www.wri-brasil.org/,,,,formulario_site,,São Paulo-SP,,https://www.wri-brasil.org/,2026-01-21,nao,ativo,World Resources Institute - sustentabilidade - formulário site
029,4,org,Psol Rio de Janeiro,Site,psol-rj,https://psol50.org.br/fale-com-o-psol/estados/,,,,,Rio de Janeiro-RJ,,https://psol50.org.br/fale-com-o-psol/estados/,2026-01-21,nao,ativo,Diretório estadual - endereço Rua Severiano 407
030,4,org,Unidade Popular Estados,Site,up-estados,https://unidadepopular.org.br/estados,,,,,,,,https://unidadepopular.org.br/estados,2026-01-21,nao,ativo,Lista telefones estaduais por estado - sem emails
031,4,org,Psol São Paulo,Site,psol-sp,https://psol50.org.br/fale-com-o-psol/estados/,,,,,São Paulo-SP,,https://psol50.org.br/fale-com-o-psol/estados/,2026-01-21,nao,ativo,Diretório estadual SP
032,4,org,Psol Minas Gerais,Site,psol-mg,https://psol50.org.br/fale-com-o-psol/estados/,,,,,Belo Horizonte-MG,,https://psol50.org.br/fale-com-o-psol/estados/,2026-01-21,nao,ativo,Diretório estadual MG
033,4,org,Psol Bahia,Site,psol-ba,https://psol50.org.br/fale-com-o-psol/estados/,,,,,Salvador-BA,,https://psol50.org.br/fale-com-o-psol/estados/,2026-01-21,nao,ativo,Diretório estadual BA
034,4,org,Psol Rio Grande do Sul,Site,psol-rs,https://psol50.org.br/fale-com-o-psol/estados/,,,,,Porto Alegre-RS,,https://psol50.org.br/fale-com-o-psol/estados/,2026-01-21,nao,ativo,Diretório estadual RS
035,5,partido,PSTU - Partido Socialista Trabalhadores Unificado,Site,pstu,https://www.pstu.org.br/,,,,,,,,https://www.pstu.org.br/,2026-01-21,nao,ativo,Site oficial - formulário contato
036,5,partido,PCO - Partido Causa Operária,Site,pco,https://www.pco.org.br/,,,,,,,,https://www.pco.org.br/,2026-01-21,nao,ativo,Site oficial - formulário contato
037,5,partido,PCB - Partido Comunista Brasileiro,Site,pcb,https://pcb.org.br/,,,,,,,,https://pcb.org.br/,2026-01-21,nao,ativo,Site oficial - formulário contato
038,3,midia,Brasil de Fato,Site,brasildefato,https://www.brasildefato.com.br/,,,,formulario_site,,,,https://www.brasildefato.com.br/,2026-01-21,nao,ativo,Agência notícias progressista - formulário site
039,3,midia,Outras Palavras,Site,outraspalavras,https://outraspalavras.net.br/,,,,formulario_site,,,,https://outraspalavras.net.br/,2026-01-21,nao,ativo,Portal análise política progressista - formulário
040,3,midia,Nexo Jornal,Site,nexo,https://www.nexojornal.com.br/,,,,formulario_site,,São Paulo-SP,,https://www.nexojornal.com.br/,2026-01-21,nao,ativo,Jornal digital análise política - formulário assinatura/contato
041,2,canal,Canal Hipócritas,YouTube,hipocritas,https://www.youtube.com/@CanalHipocritas,,,,,,1500000,https://www.youtube.com/@CanalHipocritas,2026-01-21,nao,ativo,Canal progressista humor político - ~1.5M inscritos
042,2,canal,Boatos.org,Site,boatos,https://www.boatos.org/,,,,formulario_site,,,,https://www.boatos.org/,2026-01-21,nao,ativo,Fact-checking desinformação - formulário site
043,1,pessoa,Reinaldo Azevedo,Colunista,reinaldoazevedo,https://www.folha.uol.com.br/,,,,,,São Paulo-SP,,https://www.folha.uol.com.br/,2026-01-21,nao,ativo,Colunista Folha - perfil público jornalista
044,1,pessoa,Elio Gaspari,Colunista,eliogaspari,https://www.folha.uol.com.br/,,,,,,Rio de Janeiro-RJ,,https://www.folha.uol.com.br/,2026-01-21,nao,ativo,Colunista Folha - perfil público jornalista
045,1,pessoa,Leonardo Sakamoto,Jornalista,sakamoto,https://blogdosakamoto.com.br/,,,,formulario_site,,São Paulo-SP,,https://blogdosakamoto.com.br/,2026-01-21,nao,ativo,Blog jornalista UOL - formulário contato
046,1,pessoa,Gregório Duvivier,Colunista,gregorioduvivier,https://oglobo.globo.com/,,,,,Rio de Janeiro-RJ,,https://oglobo.globo.com/,2026-01-21,nao,ativo,Colunista O Globo - humor político progressista
047,4,org,MST - Movimento Trabalhadores Rurais Sem Terra,Site,mst,https://mst.org.br/,,,,formulario_site,,São Paulo-SP,,https://mst.org.br/,2026-01-21,nao,ativo,Movimento social - formulário site
048,4,org,MTST - Movimento Trabalhadores Sem Teto,Site,mtst,https://mtst.org/,,,,formulario_site,,São Paulo-SP,,https://mtst.org/,2026-01-21,nao,ativo,Movimento urbano - formulário site
049,4,org,UJS - União Juventude Socialista,Site,ujs,https://ujs.org.br/,,,,formulario_site,,,,https://ujs.org.br/,2026-01-21,nao,ativo,Juventude partidária - formulário site
050,3,midia,Apostrofo,Site,apostrofo,https://apostrofo.com/,,,,formulario_site,,,,https://apostrofo.com/,2026-01-21,nao,ativo,Revista literária cultural progressista
